send_country,receive_country,send_currency,receive_currency
CAN,VNM,CAD,VND
DEU,VNM,EUR,VND
GBR,VNM,GBP,VND
USA,VNM,USD,VND
AUS,VNM,AUD,VND
CAN,THA,CAD,THB
DEU,THA,EUR,THB
GBR,THA,GBP,THB
USA,THA,USD,THB
AUS,THA,AUD,THB
DEU,LKA,EUR,LKR
GBR,LKA,GBP,LKR
USA,LKA,USD,LKR
AUS,LKA,AUD,LKR
CAN,SGP,CAD,SGD
DEU,SGP,EUR,SGD
GBR,SGP,GBP,SGD
USA,SGP,USD,SGD
AUS,SGP,AUD,SGD
CAN,PHL,CAD,PHP
DEU,PHL,EUR,PHP
GBR,PHL,GBP,PHP
USA,PHL,USD,PHP
AUS,PHL,AUD,PHP
DEU,PAK,EUR,PKR
GBR,PAK,GBP,PKR
USA,PAK,USD,PKR
AUS,PAK,AUD,PKR
CAN,NPL,CAD,NPR
DEU,NPL,EUR,NPR
GBR,NPL,GBP,NPR
USA,NPL,USD,NPR
AUS,NPL,AUD,NPR
CAN,MYS,CAD,MYR
DEU,MYS,EUR,MYR
GBR,MYS,GBP,MYR
USA,MYS,USD,MYR
AUS,MYS,AUD,MYR
CAN,IDN,CAD,IDR
DEU,IDN,EUR,IDR
GBR,IDN,GBP,IDR
USA,IDN,USD,IDR
AUS,IDN,AUD,IDR
CAN,IND,CAD,INR
DEU,IND,EUR,INR
GBR,IND,GBP,INR
USA,IND,USD,INR
AUS,IND,AUD,INR
CAN,HKG,CAD,HKD
DEU,HKG,EUR,HKD
GBR,HKG,GBP,HKD
USA,HKG,USD,HKD
AUS,HKG,AUD,HKD
CAN,CHN,CAD,CNY
DEU,CHN,EUR,CNY
GBR,CHN,GBP,CNY
USA,CHN,USD,CNY
AUS,CHN,AUD,CNY
CAN,BGD,CAD,BDT
DEU,BGD,EUR,BDT
GBR,BGD,GBP,BDT
USA,BGD,USD,BDT
AUS,BGD,AUD,BDT
CAN,MEX,CAD,MXN
USA,MEX,USD,MXN
DEU,CAN,EUR,CAD
GBR,CAN,GBP,CAD
USA,CAN,USD,CAD
AUS,CAN,AUD,CAD
CAN,USA,CAD,USD
DEU,USA,EUR,USD
GBR,USA,GBP,USD
AUS,USA,AUD,USD
CAN,AUS,CAD,AUD
DEU,AUS,EUR,AUD
GBR,AUS,GBP,AUD
USA,AUS,USD,AUD
CAN,GBR,CAD,GBP
DEU,GBR,EUR,GBP
USA,GBR,USD,GBP
AUS,GBR,AUD,GBP
CAN,ESP,CAD,EUR
GBR,ESP,GBP,EUR
USA,ESP,USD,EUR
AUS,ESP,AUD,EUR
CAN,PRT,CAD,EUR
GBR,PRT,GBP,EUR
USA,PRT,USD,EUR
AUS,PRT,AUD,EUR
CAN,NLD,CAD,EUR
GBR,NLD,GBP,EUR
USA,NLD,USD,EUR
AUS,NLD,AUD,EUR
CAN,MLT,CAD,EUR
GBR,MLT,GBP,EUR
USA,MLT,USD,EUR
AUS,MLT,AUD,EUR
CAN,LUX,CAD,EUR
GBR,LUX,GBP,EUR
USA,LUX,USD,EUR
AUS,LUX,AUD,EUR
CAN,ITA,CAD,EUR
GBR,ITA,GBP,EUR
USA,ITA,USD,EUR
AUS,ITA,AUD,EUR
CAN,IRL,CAD,EUR
GBR,IRL,GBP,EUR
USA,IRL,USD,EUR
AUS,IRL,AUD,EUR
CAN,GRC,CAD,EUR
GBR,GRC,GBP,EUR
USA,GRC,USD,EUR
AUS,GRC,AUD,EUR
CAN,DEU,CAD,EUR
GBR,DEU,GBP,EUR
USA,DEU,USD,EUR
AUS,DEU,AUD,EUR
CAN,FRA,CAD,EUR
GBR,FRA,GBP,EUR
USA,FRA,USD,EUR
AUS,FRA,AUD,EUR
CAN,FIN,CAD,EUR
GBR,FIN,GBP,EUR
USA,FIN,USD,EUR
AUS,FIN,AUD,EUR
CAN,EST,CAD,EUR
GBR,EST,GBP,EUR
USA,EST,USD,EUR
AUS,EST,AUD,EUR
CAN,DNK,CAD,EUR
GBR,DNK,GBP,EUR
USA,DNK,USD,EUR
AUS,DNK,AUD,EUR
CAN,BEL,CAD,EUR
GBR,BEL,GBP,EUR
USA,BEL,USD,EUR
AUS,BEL,AUD,EUR
CAN,AUT,CAD,EUR
GBR,AUT,GBP,EUR
USA,AUT,USD,EUR
AUS,AUT,AUD,EUR