Currency,Code3
EUR,UKR
EUR,CHE
EUR,ALB
EUR,VGB
EUR,CRI
EUR,ARE
EUR,DNK
EUR,ISL
EUR,NOR
EUR,SWE
EUR,AZE
EUR,IRL
EUR,GTM
EUR,SAU
EUR,NLD
EUR,KAZ
EUR,MDA
EUR,LTU
EUR,GBR
EUR,RKS
EUR,LIE
EUR,EST
EUR,TUR
EUR,PRT
EUR,SRB
EUR,GIB
EUR,ITA
EUR,HUN
EUR,LVA
EUR,MNE
EUR,AND
EUR,FRO
EUR,SMR
EUR,AUT
EUR,CZE
EUR,DOM
EUR,SVN
EUR,BHR
EUR,FRA
EUR,DEU
EUR,LBN
EUR,TLS
EUR,ROU
EUR,LCA
EUR,STP
EUR,MKD
EUR,SYC
EUR,LUX
EUR,HRV
EUR,CYP
EUR,BEL
EUR,BIH
EUR,POL
EUR,SVK
EUR,ESP
EUR,QAT
EUR,MUS
EUR,KWT
EUR,MLT
EUR,GRL
EUR,MRT
EUR,BGR
EUR,FIN
EUR,ISR
EUR,GRC
EUR,TUN
EUR,GEO
EUR,MCO
GBP,IMN
GBP,GBR
INR,IND
USD,PRI
USD,PRY
USD,ALB
USD,CHE
USD,WLF
USD,DNK
USD,BEN
USD,KEN
USD,LKA
USD,LSO
USD,NOR
USD,PYF
USD,BGD
USD,SAU
USD,NLD
USD,NER
USD,RWA
USD,JPN
USD,USA
USD,REU
USD,ITA
USD,SGP
USD,LVA
USD,OMN
USD,IMN
USD,SPM
USD,HND
USD,SVN
USD,MSR
USD,FRA
USD,AGO
USD,VAT
USD,LBN
USD,TLS
USD,LCA
USD,MKD
USD,SLB
USD,TCA
USD,BIH
USD,HTI
USD,TWN
USD,BTN
USD,DMA
USD,BMU
USD,ESP
USD,COK
USD,GRL
USD,LAO
USD,FJI
USD,BRN
USD,FIN
USD,NZL
USD,PAN
USD,CCK
USD,KIR
USD,TUV
USD,MLI
USD,ISL
USD,VUT
USD,MTQ
USD,KHM
USD,DZA
USD,SRB
USD,KOR
USD,IDN
USD,PLW
USD,HUN
USD,AND
USD,BOL
USD,TZA
USD,SMR
USD,GNB
USD,GAB
USD,UGA
USD,LBR
USD,ROU
USD,STP
USD,JEY
USD,KGZ
USD,CAN
USD,NAM
USD,SYC
USD,GUY
USD,ECU
USD,THA
USD,TON
USD,KWT
USD,FSM
USD,NPL
USD,MLT
USD,MWI
USD,NIC
USD,AIA
USD,GEO
USD,SLE
USD,MCO
USD,CPV
USD,UKR
USD,ETH
USD,CRI
USD,VGB
USD,ARE
USD,CHN
USD,NRU
USD,ATG
USD,MAC
USD,TJK
USD,IRL
USD,TTO
USD,NIU
USD,BHS
USD,MYS
USD,VCT
USD,CIV
USD,MYT
USD,MDA
USD,ABW
USD,LTU
USD,EST
USD,GIB
USD,BFA
USD,MNE
USD,GIN
USD,FRO
USD,BRB
USD,AUT
USD,CZE
USD,GHA
USD,BHR
USD,FLK
USD,GRD
USD,ARG
USD,SLV
USD,ALA
USD,SUR
USD,HRV
USD,CYP
USD,MHL
USD,SVK
USD,QAT
USD,VNM
USD,MUS
USD,CHL
USD,MRT
USD,WSM
USD,BGR
USD,MMR
USD,ISR
USD,GRC
USD,TUN
USD,NFK
USD,GGY
USD,SHN
USD,VEN
USD,NCL
USD,GMB
USD,MDV
USD,COL
USD,KNA
USD,MOZ
USD,GUF
USD,AZE
USD,SWE
USD,AUS
USD,GTM
USD,CYM
USD,PNG
USD,KAZ
USD,ARM
USD,GBR
USD,LIE
USD,TUR
USD,BWA
USD,PRT
USD,EGY
USD,JAM
USD,UZB
USD,ZMB
USD,URY
USD,ZAF
USD,DOM
USD,SEN
USD,HKG
USD,MAR
USD,DEU
USD,GLP
USD,LUX
USD,BEL
USD,POL
USD,CXR
USD,PHL
USD,ASM
USD,MNG
USD,PER
USD,MEX
AED,ARE
ARS,ARG
AUD,AUS
BDT,BGD
BGN,BGR
BRL,BRA
CAD,CAN
CHF,CHE
CLP,CHL
CNY,CHN
COP,COL
CRC,CRI
CZK,CZE
DKK,DNK
EGP,EGY
GEL,GEO
GHS,GHA
HKD,HKG
HRK,HRV
HUF,HUN
IDR,IDN
ILS,ISR
ILS,ISR
ILS,ISR
JPY,JPN
KES,KEN
KRW,KOR
LKR,LKA
MAD,MAR
MXN,MEX
MYR,MYS
NGN,NGA
NOK,NOR
NPR,NPL
NZD,NZL
PEN,PER
PHP,PHL
PKR,PAK
PLN,POL
RON,ROU
RUB,RUS
SEK,SWE
SGD,SGP
THB,THA
TRY,TUR
TZS,TZA
UAH,UKR
UGX,UGA
UYU,URY
VND,VNM
XOF,BEN
XOF,MLI
XOF,CIV
XOF,NER
XOF,BFA
XOF,GNB
XOF,SEN
XOF,TGO
ZAR,ZAF